x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,y
8.37,-12,6,2.12,12.93,3.35,0.007217427,-0.329721479,-0.562601289,-0.787001093,-0.932781819,63.14,37.33,45.21,26.18,10.71,2.17,5.28,5.28,-1.32,6.61,0.91,1.58,-3.13,1.94,-3.13,5.07,0
12.73,1.5,3,5.04,9.54,1.9,0.013195275,-0.342011812,-0.66703424,-0.798351525,-0.928248355,70.81,36.49,48.06,24.16,6.32,3.95,7.94,7.94,-1.36,9.3,4.02,3.34,-5.94,0.09,-5.94,6.04,0
-17.76,-10.5,-9,4.6,19.43,-0.03,0.025494599,-0.349994193,-0.609179604,-0.770084014,-0.842096094,43.68,58.35,48.52,44.79,21.95,6.73,-9.05,-0.96,-9.05,8.09,-5.47,7.7,14.06,14.06,-1.67,15.73,0
-50.69,-7.5,-6,5.46,19.91,-0.62,0.020603554,-0.279220282,-0.5848269,-0.778530944,-0.915058211,45.38,83.87,57.95,44.77,18.09,3.18,8.98,8.98,-3.3,12.28,2.24,6.61,9.97,9.97,-1.56,11.53,0
-55.33,-7.5,-6,-2.37,19.26,2.77,0.018819076,-0.199653615,-0.503901298,-0.737979181,-0.863481351,43.07,86.99,55.38,41.86,15.88,2.12,-3.83,3.58,-3.83,7.41,-3.08,3.24,7.53,7.53,-4.19,11.72,0
-72.81,3,-6,5.51,16.62,1.17,0.020645631,-0.239466319,-0.561380976,-0.777498754,-0.910343902,34.45,93.3,56.67,41.66,13.99,6.23,15.01,15.01,-4.8,19.81,8.91,3.81,7.08,7.08,-6.59,13.66,0
-33.87,27,-6,-4.21,18.04,3.57,-0.032973888,-0.299509848,-0.614419392,-0.787345156,-0.920702255,37.55,78.76,44.63,43.54,18.68,7.12,16.13,16.13,-7.39,23.52,12.49,6.21,-14.89,10.38,-14.89,25.27,0
-63.96,19.5,-9,3.4,16.71,6.7,-0.032518884,-0.197968013,-0.594258662,-0.790542218,-0.908507394,23.75,96.77,41.64,47.76,19.06,8.44,16.61,16.61,-5.67,22.28,20.84,11.82,-20.84,6.83,-20.84,27.68,0
-54.69,25.5,-9,1.53,18.26,5.82,-0.032117622,-0.25342588,-0.62540147,-0.785971736,-0.909339091,32.59,94.33,46.13,48.65,21.03,10.77,21.79,21.79,-2.91,24.69,23.74,8.48,-16.14,5.94,-16.14,22.07,0
-10.22,-7.5,-6,2.09,22.84,7.7,0.004003111,-0.358515624,-0.581399761,-0.773681914,-0.841620976,64.89,68.71,59.65,46.04,23.93,2.3,5.53,5.53,-3.65,9.18,2.61,2.74,5.47,5.47,-5.23,10.7,0
9.61,-7.7,-6,3.05,20.12,1.28,-0.004942842,-0.385847058,-0.652836886,-0.811103265,-0.877554915,70.72,58,48.93,37.33,17.71,3.22,-6.08,-0.05,-6.08,6.03,2.32,4.14,9.29,9.29,-3.68,12.97,0
-3.03,-11.87,-6,2.5,20.23,2.16,0.017506703,-0.375451755,-0.70551432,-0.813915983,-0.881669452,67.07,60.31,51.43,36.86,15.19,5.53,-7.96,-0.14,-7.96,7.83,-4.35,6.45,13.34,13.34,0,13.34,0
17.84,-13.5,-6,-2.07,21.6,1.38,0.004136563,-0.367442818,-0.628008835,-0.778123011,-0.847639726,83.39,55.81,56.65,40.23,18.98,5.29,-7.39,0.5,-7.39,7.9,-4.11,7.95,14.3,14.3,0,14.3,0
3.84,-7.5,-6,2.88,19.97,-0.09,0.021008074,-0.374559066,-0.61411382,-0.802970918,-0.875421337,76.29,59.93,52.67,39.28,17.82,4.22,-8.04,2.39,-8.04,10.42,1.51,6.03,13.92,13.92,-2.9,16.82,0
-3.75,-10.5,-6,2.75,19.22,-0.16,0.014825154,-0.360273869,-0.587366555,-0.786525331,-0.847768682,72.2,63.32,53.83,39.71,16.24,7.41,-11.71,-0.23,-11.71,11.49,-3.51,10.55,19.4,19.4,0,19.4,0
11.53,-12,-6,-0.67,23.9,-0.24,0.018687363,-0.347147917,-0.580061789,-0.725510512,-0.904453319,42.51,37.37,40.16,35.04,21.07,3.3,-5.17,2.24,-5.17,7.41,0.51,6.62,12.28,12.28,-0.74,13.02,0
